00:00:02.132 main.c:303:load_settings                                      : Trying to load /usr/share/plymouth//plymouthd.defaults
00:00:02.135 ply-key-file.c:175:ply_key_file_load_group                    : trying to load group Daemon
00:00:02.138 ply-key-file.c:262:ply_key_file_load_groups                   : key file has no more groups
00:00:02.140 ply-key-file.c:371:ply_key_file_get_value                     : /usr/share/plymouth//plymouthd.defaults
00:00:02.142 ply-key-file.c:371:ply_key_file_get_value                     : /usr/share/plymouth//plymouthd.defaults
00:00:02.144 ply-key-file.c:359:ply_key_file_get_raw_value                 : key file does not have entry for key 'ThemeDir'
00:00:02.147 main.c:268:get_theme_path                                     : get_theme_path
00:00:02.150 main.c:285:get_theme_path                                     : Theme /run/plymouth/themes//spinner/spinner.plymouth not found
00:00:02.153 main.c:285:get_theme_path                                     : Theme /usr/share/plymouth/themes//spinner/spinner.plymouth not found
00:00:02.156 main.c:321:load_settings                                      : Splash delay is set to 0.000000
00:00:02.159 main.c:326:load_settings                                      : Device timeout is set to 8.000000
00:00:02.163 ply-key-file.c:371:ply_key_file_get_value                     : /usr/share/plymouth//plymouthd.defaults
00:00:02.166 ply-key-file.c:359:ply_key_file_get_raw_value                 : key file does not have entry for key 'DeviceScale'
00:00:02.168 main.c:872:plymouth_should_show_default_splash                : plymouth_should_show_default_splash
00:00:02.170 main.c:873:plymouth_should_show_default_splash                : checking if plymouth should show default splash
00:00:02.172 main.c:896:plymouth_should_show_default_splash                : using default splash because kernel command line has option "rhgb"
00:00:02.174 main.c:398:find_force_scale                                   : find_force_scale
00:00:02.175 main.c:1101:load_devices                                      : load_devices
00:00:02.175 ply-event-loop.c:520:ply_event_loop_get_default               : ply_event_loop_get_default
00:00:02.175 ply-key-file.c:175:ply_key_file_load_group                    : trying to load group NONE
00:00:02.175 ply-key-file.c:371:ply_key_file_get_value                     : /etc/vconsole.conf
00:00:02.175 ply-terminal.c:172:ply_terminal_new                           : terminal /dev/tty1 keymap: ie
00:00:02.175 ply-event-loop.c:520:ply_event_loop_get_default               : ply_event_loop_get_default
00:00:02.175 ply-event-loop.c:878:ply_event_loop_watch_for_exit            : ply_event_loop_watch_for_exit
00:00:02.175 ply-device-manager.c:976:create_devices_from_terminals        : checking for consoles
00:00:02.175 ply-device-manager.c:754:add_consoles_from_file               : opening /sys/class/tty/console/active
00:00:02.175 ply-device-manager.c:762:add_consoles_from_file               : reading file
00:00:02.205 ply-device-manager.c:800:add_consoles_from_file               : console /dev/tty1 found!
00:00:02.205 ply-device-manager.c:576:watch_for_udev_events                : watching for udev graphics device add and remove events
00:00:02.205 ply-event-loop.c:727:ply_event_loop_watch_fd                  : ply_event_loop_watch_fd
00:00:02.205 ply-event-loop.c:700:ply_event_loop_get_source_from_fd        : ply_event_loop_get_source_from_fd
00:00:02.205 ply-event-loop.c:590:ply_event_loop_find_source_node          : ply_event_loop_find_source_node
00:00:02.205 ply-event-loop.c:327:ply_event_source_new                     : ply_event_source_new
00:00:02.205 ply-event-loop.c:611:ply_event_loop_add_source                : ply_event_loop_add_source
00:00:02.205 ply-event-loop.c:590:ply_event_loop_find_source_node          : ply_event_loop_find_source_node
00:00:02.205 ply-event-loop.c:278:ply_event_destination_new                : ply_event_destination_new
00:00:02.205 ply-event-loop.c:417:ply_event_loop_add_destination_for_source: ply_event_loop_add_destination_for_source
00:00:02.205 ply-event-loop.c:372:ply_event_loop_update_source_event_mask  : ply_event_loop_update_source_event_mask
00:00:02.205 ply-event-loop.c:303:ply_fd_watch_new                         : ply_fd_watch_new
00:00:02.205 ply-device-manager.c:324:create_devices_for_subsystem         : creating objects for drm devices
00:00:02.205 ply-event-loop.c:921:ply_event_loop_watch_for_timeout         : ply_event_loop_watch_for_timeout
00:00:02.205 main.c:2399:main                                              : entering event loop
00:00:02.205 ply-event-loop.c:1317:ply_event_loop_run                      : ply_event_loop_run
00:00:02.205 ply-event-loop.c:727:ply_event_loop_watch_fd                  : ply_event_loop_watch_fd
00:00:02.205 ply-event-loop.c:700:ply_event_loop_get_source_from_fd        : ply_event_loop_get_source_from_fd
00:00:02.205 ply-event-loop.c:590:ply_event_loop_find_source_node          : ply_event_loop_find_source_node
00:00:02.205 ply-event-loop.c:327:ply_event_source_new                     : ply_event_source_new
00:00:02.205 ply-event-loop.c:611:ply_event_loop_add_source                : ply_event_loop_add_source
00:00:02.205 ply-event-loop.c:590:ply_event_loop_find_source_node          : ply_event_loop_find_source_node
00:00:02.205 ply-event-loop.c:278:ply_event_destination_new                : ply_event_destination_new
00:00:02.205 ply-event-loop.c:417:ply_event_loop_add_destination_for_source: ply_event_loop_add_destination_for_source
00:00:02.205 ply-event-loop.c:372:ply_event_loop_update_source_event_mask  : ply_event_loop_update_source_event_mask
00:00:02.205 ply-event-loop.c:303:ply_fd_watch_new                         : ply_fd_watch_new
00:00:02.205 ply-boot-server.c:393:print_connection_process_identity       : connection is from pid 423 (/usr/bin/plymouth show-splash) with parent pid 1 (/init rhgb)
00:00:02.205 ply-boot-server.c:492:ply_boot_connection_on_request          : got show splash request
00:00:02.205 main.c:916:on_show_splash                                     : on_show_splash
00:00:02.205 main.c:840:plymouth_should_ignore_show_splash_calls           : plymouth_should_ignore_show_splash_calls
00:00:02.205 main.c:841:plymouth_should_ignore_show_splash_calls           : checking if plymouth should be running
00:00:02.205 main.c:946:on_show_splash                                     : no displays available to show splash on, waiting...
00:00:02.206 ply-event-loop.c:1165:ply_event_loop_disconnect_source        : ply_event_loop_disconnect_source
00:00:02.206 ply-event-loop.c:1058:ply_event_loop_handle_disconnect_for_sou: ply_event_loop_handle_disconnect_for_source
00:00:02.206 ply-event-loop.c:1083:ply_event_loop_free_watches_for_source  : ply_event_loop_free_watches_for_source
00:00:02.206 ply-event-loop.c:314:ply_fd_watch_free                        : ply_fd_watch_free
00:00:02.206 ply-event-loop.c:1134:ply_event_loop_free_destinations_for_sou: ply_event_loop_free_destinations_for_source
00:00:02.206 ply-event-loop.c:1151:ply_event_loop_free_destinations_for_sou: freeing destination (1, 0x407db4, 0x40caff) of fd 10
00:00:02.206 ply-event-loop.c:294:ply_event_destination_free               : ply_event_destination_free
00:00:02.206 ply-event-loop.c:661:ply_event_loop_remove_source             : ply_event_loop_remove_source
00:00:02.206 ply-event-loop.c:633:ply_event_loop_remove_source_node        : ply_event_loop_remove_source_node
00:00:02.206 ply-event-loop.c:344:ply_event_source_free                    : ply_event_source_free
00:00:02.280 main.c:167:on_session_output                                  : on_session_output
00:00:02.281 ply-event-loop.c:727:ply_event_loop_watch_fd                  : ply_event_loop_watch_fd
00:00:02.281 ply-event-loop.c:700:ply_event_loop_get_source_from_fd        : ply_event_loop_get_source_from_fd
00:00:02.281 ply-event-loop.c:590:ply_event_loop_find_source_node          : ply_event_loop_find_source_node
00:00:02.281 ply-event-loop.c:327:ply_event_source_new                     : ply_event_source_new
00:00:02.281 ply-event-loop.c:611:ply_event_loop_add_source                : ply_event_loop_add_source
00:00:02.281 ply-event-loop.c:590:ply_event_loop_find_source_node          : ply_event_loop_find_source_node
00:00:02.281 ply-event-loop.c:278:ply_event_destination_new                : ply_event_destination_new
00:00:02.281 ply-event-loop.c:417:ply_event_loop_add_destination_for_source: ply_event_loop_add_destination_for_source
00:00:02.281 ply-event-loop.c:372:ply_event_loop_update_source_event_mask  : ply_event_loop_update_source_event_mask
00:00:02.281 ply-event-loop.c:303:ply_fd_watch_new                         : ply_fd_watch_new
00:00:02.281 ply-boot-server.c:389:print_connection_process_identity       : connection is from toplevel init process (/init rhgb)
00:00:02.281 ply-boot-server.c:444:ply_boot_connection_on_request          : got update request
00:00:02.281 main.c:183:on_update                                          : on_update
00:00:02.281 main.c:184:on_update                                          : updating status to 'plymouth-start.service'
00:00:02.281 ply-event-loop.c:1165:ply_event_loop_disconnect_source        : ply_event_loop_disconnect_source
00:00:02.281 ply-event-loop.c:1058:ply_event_loop_handle_disconnect_for_sou: ply_event_loop_handle_disconnect_for_source
00:00:02.281 ply-event-loop.c:1083:ply_event_loop_free_watches_for_source  : ply_event_loop_free_watches_for_source
00:00:02.281 ply-event-loop.c:314:ply_fd_watch_free                        : ply_fd_watch_free
00:00:02.281 ply-event-loop.c:1134:ply_event_loop_free_destinations_for_sou: ply_event_loop_free_destinations_for_source
00:00:02.281 ply-event-loop.c:1151:ply_event_loop_free_destinations_for_sou: freeing destination (1, 0x407db4, 0x40caff) of fd 10
00:00:02.281 ply-event-loop.c:294:ply_event_destination_free               : ply_event_destination_free
00:00:02.281 ply-event-loop.c:661:ply_event_loop_remove_source             : ply_event_loop_remove_source
00:00:02.281 ply-event-loop.c:633:ply_event_loop_remove_source_node        : ply_event_loop_remove_source_node
00:00:02.281 ply-event-loop.c:344:ply_event_source_free                    : ply_event_source_free
00:00:02.332 main.c:167:on_session_output                                  : on_session_output
00:00:02.334 main.c:167:on_session_output                                  : on_session_output
00:00:02.335 main.c:167:on_session_output                                  : on_session_output
00:00:02.380 main.c:167:on_session_output                                  : on_session_output
00:00:02.382 main.c:167:on_session_output                                  : on_session_output
00:00:02.558 ply-device-manager.c:535:on_udev_event                        : got remove event for device /dev/fb0
00:00:02.656 ply-device-manager.c:535:on_udev_event                        : got add event for device /dev/dri/card0
00:00:02.656 ply-device-manager.c:280:create_devices_for_udev_device       : device subsystem is drm
00:00:02.656 ply-device-manager.c:283:create_devices_for_udev_device       : found DRM device /dev/dri/card0
00:00:02.656 ply-device-manager.c:888:create_devices_for_terminal_and_rende: creating devices for /dev/dri/card0 (renderer type: 1) (terminal: /dev/tty1)
00:00:02.656 ply-renderer.c:236:ply_renderer_open_plugin                   : trying to open renderer plugin /usr/lib64/plymouth/renderers/drm.so
00:00:02.657 plugin.c:876:create_backend                                   : creating renderer backend for device /dev/dri/card0
00:00:02.657 ply-event-loop.c:520:ply_event_loop_get_default               : ply_event_loop_get_default
00:00:02.657 plugin.c:956:load_driver                                      : Opening '/dev/dri/card0'
00:00:02.672 ply-terminal.c:637:ply_terminal_open                          : trying to open terminal '/dev/tty1'
00:00:02.672 ply-event-loop.c:727:ply_event_loop_watch_fd                  : ply_event_loop_watch_fd
